author,author_type,bake_time,calories,carb,carb_u,difficulty,dish_description,dish_name,fat,fat_u,image_count,ingredient_list,ingredient_quantity,ingredient_unit,prep_time,protein,protein_u,rating,rest_time,reviews_for_rating,servings,total_steps,user_likes,utensils,total_time
Bogdan Novak,Community Member,0,,,,Hard,,Étoile blanche,,,0,"['chicken breast', 'herbes de Provence', 'Activia yogurt with ActiRegularis', 'garlic', 'fettuccine', 'olive oil', 'red wine', 'cherry tomatoes', 'ricotta cheese', 'mushrooms', 'arugula', 'salt', 'papper']","['1.0', '0.3333333333333333', '1.0', '2.0', '0.5', '50.0', '5.0', '1.0', '0.5', '0.0', '0.0', '0.0', '0.0']","['bag', 'package', 'cloves', 'package', 'ml', 'package', 'bulb', '', '', '', '', '', '']",90,,,0.0,0,,1,5.0,4,,90
Rohit,Community Member,19,,,,Easy,,CHICKEN TIKKA,,,1,"[' boneless chicken', 'Red chilli powder', 'coriander powder', 'black pepper powder', 'salt as per taste', 'yogurt', 'ginger garlic paste', 'chaat masala', 'mustard oil']","['150', '1', '1', '0.5', '1', '70', '1', '1', '4']","['g', 'tsp', 'tbsp', 'tbsp', 'tbsp', 'g', 'tbsp', 'tsp', 'tsp']",10,,,5.0,60,1.0,9,6.0,48,,89
Meredith Mackenzie,Community Member,75,,,,Medium,"I just winged this one, wanted something super indulgent! It didn’t disappoint!",Cheddar-Stuffed Bacon Wrapped Chicken,,,0,"['chicken breasts', 'marinade', '3 thick cut bacon strips', 'Extra sharp cheddar', 'broccoli', 'Shredded cheese', 'salt', 'pepper']","['2.0', '0.5', '3.0', '0.5', '0.5', '0.25', '0.0', '0.0']","['cup', 'cup', 'cup', 'cup', '', '', '', '']",30,,,0.0,5,,2,,71,,110
Taylor,Community Member,45,,,,Easy,"Amazing side dish for breakfast, lunch or dinner. Pairs great with ANYTHING! You won’t regret making these! I promise!",Roasted herb potatoes,,,1,"['White potatoes', 'Butter', 'Olive oil', 'Parsley flakes', 'Paprika', 'garlic powder', 'salt', 'Pepper']","['2.0', '4.0', '4.0', '4.0', '2.0', '1.0', '0.0', '0.0']","['lbs', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'tsp', '', '']",20,,,5.0,1,1.0,2,3.0,12,,66
Alexandria Paige,Community Member,210,,,,Medium,Potato soup is my absolute favorite 😍,Loaded Baked Potato Soup (Crockpot),,,1,"['potatoes', 'butter', 'chicken broth', 'milk', 'heavy cream', 'sharp cheddar cheese', 'mild cheddar cheese', 'American cheese slices', 'real bacon bits', 'sour cream', 'salt', 'ground black pepper', 'chives', 'green onion']","['5', '0.5', '2', '0.25', '3', '2', '1', '5', '1', '1', '2', '1', '1', '0.25']","['lbs', 'stick', 'cups', 'gallon', 'cups', 'cups', 'cup', 'cup', 'cup', 'tsp', 'tsp', 'tsp', 'cup', '']",40,,,0.0,0,,12,4.0,87,"['potato masher', 'pot', 'colander', 'Crockpot']",250
BethanHellings,Community Member,10,,,,Easy,A fresh and spicy breakfast dish.,Indian Scrambled Eggs,,,0,"['spring onion', 'green chilli', 'garlic', 'tomatoes', 'eggs', 'fresh coriander', 'garam masala', 'turmeric', 'naan breads']","['4', '1', '2', '2', '6', '30', '1', '1', '2']","['cloves', 'g', 'tsp', 'tsp', '', '', '', '', '']",5,,,5.0,0,1.0,2,5.0,17,"['knife', '2 frying pans', 'rubber spatula']",15
Cami Lee Gibson,Community Member,20,,,,Easy,,Greek Pasta Salad,,,0,"['Tri-color Rotini pasta', 'Green pepper', 'red bell pepper', 'Zesty Italian dressing', 'Lemon juice', 'Red onion', 'Ground black pepper', 'feta cheese']","['12', '1', '1', '1', '1', '0.25', '0.25', '1.25']","['oz', 'cup', 'tbsp', 'tsp', 'cups', '', '', '']",15,,,0.0,10,,10,3.0,9,"['knife', 'Mixing bowl', 'Measuring cups', 'Measuring spoons']",45
Révész Klaudia,Community Member,0,,,,Easy,This is a really easy dish for busy days. I usually put parmesan on the top of it to be more delicious.,Fake carbonara with garlic,,,0,"['pasta', 'ham', 'cream', 'cheese', 'garlic', 'butter', 'oregano', 'salt ', 'pepper']","['0.5', '350.0', '800.0', '200.0', '4.0', '100.0', '0.0', '0.0', '0.0']","['kg', 'g', 'ml', 'g', 'cloves', 'g', '', '', '']",45,,,0.0,0,,4,5.0,28,,45
Kiti,Community Member,0,,,,Easy,"The most yummy. Just try. So easy and quick. Just mix everything and stir, fry till it’ll be ready. Enjoy!",Chicken and broccoli Yum,,,0,"['Curry', 'Butter', 'Corn', 'peas and carrots', 'bell pepper', 'broccoli', 'chicken breast', 'cucumber', 'salt', 'Black pepper']","['0.5', '0.5', '0.5', '1.0', '300.0', '1.0', '1.0', '1.0', '1.0', '0.0']","['tbsp', 'tbsp', 'g', 'pinch', 'pinch', '', '', '', '', '']",60,,,0.0,0,,2,3.0,14,,60
Martina Blagoeva,Community Member,30,,,,Medium,"My boyfriend and I came up with this recipe and it turned out better than expected, so why not commemorate it here!",Vegetarian curry rice Berlin style,,,1,"['basmati rice', 'butter', 'garlic', 'spinach', 'canned chickpeas', 'cream cheese', 'canned diced tomatoes', 'sugar', 'curry powder', 'red bell pepper', 'broccoli', 'salt', 'pepper', 'olive oil']","['200.0', '50.0', '1.0', '250.0', '300.0', '100.0', '300.0', '1.0', '2.0', '1.0', '0.5', '0.0', '0.0', '0.0']","['g', 'g', 'clove', 'g', 'g', 'g', 'g', 'tsp', 'tbsp', '', '', '', '', '']",5,,,0.0,0,,4,4.0,35,"['oven', 'pot', 'frying pan']",35
Theresa Hufnagl,Community Member,0,,,,Easy,This recipe is a family tradition that we have been making for decades. It's best served with some rustic or wholewheat bread on the side.,Traditional obatzda (Bavarian cheese spread),,,0,"['Camembert cheese', 'cream cheese', 'unsalted butter (room temperature)', 'sweet paprika powder', 'caraway seed', 'onion']","['100', '100', '100', '2', '1', '0.25']","['g', 'g', 'g', 'tsp', 'tsp', '']",10,,,0.0,0,,4,3.0,42,"['large bowl', 'hand mixer with dough hook']",10
svlamb,Community Member,45,,,,Easy,www.princes.co.uk,Corned Beef Hash,,,2,"['Corned beef', 'leeks', 'tomato purée', 'Worcestershire sauce', 'butter', 'milk', 'Baked beans', 'cheddar cheese', 'potatoes']","['340', '2', '2', '2', '10', '2', '400', '100', '600']","['g', 'tbsp', 'tsp', 'g', 'tbsp', 'g', 'g', 'g', '']",20,,,0.0,0,,4,6.0,8,,65
lo,Community Member,30,,,,Medium,Lui’s recipe - Brazilian,Filled eggplants,,,0,"['eggplants', 'Minced meat', 'onion', 'canned diced tomatoes', 'garlic', 'salt', 'Pepper', 'tomato sauce', 'Gouda cheese', 'Parmesan cheese']","['2.0', '500.0', '1.0', '2.0', '200.0', '0.0', '0.0', '0.0', '0.0', '0.0']","['g', 'g', '', '', '', '', '', '', '', '']",30,,,0.0,10,,4,5.0,5,,70
Bailey Valenza,Community Member,20,,,,Easy,Something my grandma used to cook up often while I was growing up! Always one of my favorites (:,Beef Rice Special,,,0,"['rice', 'onion', 'ground beef', 'canned diced tomatoes', 'shredded cheese', 'water']","['1', '0.5', '0.75', '15', '5', '2.5']","['cup', 'lb', 'oz', 'oz', 'cups', '']",10,,,0.0,0,,4,6.0,10,,30
Samuel Rozier,Community Member,25,,,,Easy,,Swedish meatballs,,,0,"['ground beef', 'olive oil', 'beef stock', 'mustard', 'coconut oil', 'butter', 'egg', 'heavy cream', 'red onion', 'garlic', 'parsley', 'Worcestershire sauce']","['1', '1', '1', '1', '1', '2', '1', '1', '0.5', '1', '1', '2']","['lb', 'tbsp', 'cup', 'tbsp', 'tbsp', 'tbsp', 'cup', 'clove', 'tbsp', 'tbsp', '', '']",5,,,0.0,5,,4,5.0,8,"['cast iron pan (large)', 'cast iron pot']",35
Deanna Pelletteri,Community Member,0,,,,Easy,Tacos are one of my all time favorite foods and I love to come up with my own variations. They are great for any day of the week (not just Tuesdays) and I came up with this recipe to bring in bright citrus notes but still keep it simple with some of staple ingredients you find in a great taco. It is a super simple weeknight dinner and tastes absolutely delicious!,Grilled Citrus Marinated Steak Tacos w/ Chipotle Mayo,,,0,"['sirloin steaks', 'lemon', 'green bell pepper', 'onion', 'avocado (ripe', ' for serving)', 'cilantro (for garnish)', 'flour tortillas', 'chipotle chili in adobo', 'mayonnaise', 'adobo sauce from chipotle peppers', 'shredded Mexican cheese blend', 'salt', 'pepper', 'olive oil', 'butter']","['8.0', '1.0', '0.25', '0.5', '6.0', '2.0', '0.5', '1.0', '1.0', '1.0', '2.0', '1.0', '0.0', '0.0', '0.0']","['oz', 'cup', 'cup', 'cup', 'tbsp', 'pinch', 'pinch', 'tbsp', 'tbsp', '', '', '', '', '', '']",30,,,5.0,30,1.0,2,5.0,37,"['bowl', 'wooden spoon', 'blender']",60
Jessica,Community Member,0,,,,Easy,,FPG Creamy Chicken,,,0,"['chicken breasts', 'salt', 'pepper', 'vegetable oil', 'garlic', 'onion', 'tomato', 'spinach', 'heavy cream', 'salt', 'pepper', 'Parmesan cheese', 'parsley']","['4', '2', '1', '1', '3', '0.5', '1', '80', '480', '1', '1', '55', '2']","['tsp', 'tsp', 'tbsp', 'cloves', 'g', 'ml', 'tsp', 'tsp', 'g', 'tbsp', '', '', '']",20,,,0.0,0,,4,8.0,4,,20
twoja stara,Community Member,0,,,,Easy,"It’s really simple and tasty, hope you will like it!",sun-dried tomatoes chicken pasta,,,0,"['chicken breast ', 'jarred sun-dried tomatoes', 'oil from sun-dried tomato', 'sour cream', 'garlic', 'seasonings for chicken', 'pasta']","['400.0', '100.0', '150.0', '1.0', '300.0', '0.0', '0.0']","['g', 'g', 'ml', 'clove', 'g', '', '']",20,,,5.0,0,1.0,4,4.0,37,,20
Aleaya,Community Member,0,,,,Easy,"When I cook this dish I eye ball it so the ingredients aren’t exact,so add seasonings to your taste and I hope you enjoy.",Flavourful fried chicken,,,0,"['flour ', 'chicken breasts', 'Praprika', 'ground cumin', 'garlic powder', 'salt', 'pepper', 'eggs', 'milk', 'vegetable oil']","['0.5', '4', '2', '3', '3', '3', '2', '2', '50', '600']","['kg', 'tbsp', 'tbsp', 'tbsp', 'tbsp', 'tsp', 'ml', 'ml', '', '']",60,,,4.0,10,1.0,30,8.0,59,"['Large bowl', 'knife', 'Cutting board ', 'Whisk ', 'Medium bowl ', 'Sauce pan', 'Paper towel', 'Tongs ']",70
Tereza Vesselá,Community Member,0,,,,Easy,,Gnocchi with tofu and tomatoes,,,0,"['smoked tofu', 'tomatoes', 'Spring onion', 'gnocchi', 'mozzarella cheese']","['100', '4', '2', '200', '100']","['g', 'leaves', 'g', 'g', '']",20,,,0.0,0,,1,3.0,46,,20
Dominic Lang,Community Member,0,,,,Easy,"I love creating things that are different, so why not mix up the classic burger we’ve all come to know and love?",Reverse bacon and cheese burger,,,0,"['beef hamburger patty', 'bacon', 'cheese', 'butter', 'salt', 'pepper', 'thyme']","['1', '2', '30', '20', '0.5', '0.5', '0.5']","['slices', 'g', 'g', 'tsp', 'tsp', 'tsp', '']",25,,,5.0,0,1.0,1,9.0,14,"['4 cutting boards', '3 knives', '1 spatula (optional)', '3 frying pans', '2 spatulas']",25
Ellie,Community Member,60,,,,Easy,"Another czech dish, that will blow your mind! Enjoy your meal :)",Spinach crêpes,,,0,"['spinach', 'milk', 'eggs', 'cheese', 'flour', 'salt', 'garlic', 'egg']","['500', '800', '2', '100', '400', '0.5', '1', '1']","['g', 'ml', 'g', 'g', 'tbsp', 'clove', '', '']",30,,,0.0,1,,6,6.0,10,,91
Zuzanna,Community Member,20,,,,Easy,Try it with some crusty bread - traditionally it was served inside the crusty bread. The Silesians used to say that this is ‘the soup that makes a man as strong as a wall’.,Żurek - Polish rye sour soup,,,0,"['sachet of Polish sour soup powder with mushrooms', 'sachet of Polish white borscht powder ', 'white pork sausages', 'hard boiled eggs (for serving)', 'water (hot)', 'parsley', 'salt and pepper']","['1', '1', '3', '4', '800', '1', '1']","['ml', 'tbsp', 'pinch', '', '', '', '']",15,,,5.0,5,2.0,4,7.0,10,"['pot (large)', '2 cooking spoons', '2 knives', '2 cutting boards', 'bowl']",40
amilia,Community Member,20,,,,Easy,,Canned tuna pasta,,,0,"['canned tuna (drained)', 'garlic (grated)', 'onion (chopped)', 'lemon zest', 'lemon juice', 'salt', 'Crushed black pepper', 'Pasta of choice', 'water', 'olive oil', 'Cherry tomatoes (or diced )', 'dried oregano']","['1.0', '2.0', '0.5', '1.0', '1.0', '1.0', '2.0', '0.5', '0.5', '0.0', '0.0', '0.0']","['cloves', 'cup', 'tsp', 'cup', 'tbsp', 'cup', 'tsp', '', '', '', '', '']",7,,,0.0,0,,2,9.0,21,"['pot', '2 wooden spoons', 'frying pan']",27
Daryl Zamora,Community Member,0,,,,Easy,The texture of the fried pork adds to the beauty of this soy-dark version of a classic Chinese dish.,Dark Pork Chopsuey,,,1,"['Chopsuey veggies (carrots', ' cabbage', ' chayote', ' etc.)', 'oil', 'Knorr pork cubes', 'pork chops', 'garlic', 'onion', 'soy sauce']","['2', '5', '1', '1.5', '1', '1', '0.25']","['cups', 'tbsp', 'tea bag', 'cups', 'head', 'bulb', 'cup']",30,,,5.0,0,1.0,2,7.0,18,,30
Helena,Community Member,0,,,,Medium,Feel free to add as many vegetables as you want! ,Brown rice with vegetables,,,0,"['brown rice', 'white asparagus', 'green bell peppers', 'olive oil']","['250', '200', '250', '10']","['g', 'g', 'g', 'g']",30,,,0.0,0,,2,6.0,48,"['2 knives', '3 sauté pans']",30
Crystal,Community Member,15,,,,Easy,,Beef croquette,,,0,"['oil', 'white onion', 'carrots', 'asparagus', 'garlic powder', 'butter', 'potatoes', 'kale', 'dried thyme', 'cooked beef', 'cheddar cheese', 'panko breadcrumbs']","['1', '0.75', '2', '2', '0.5', '0.5', '2', '1', '1', '80', '30', '30']","['tbsp', 'tsp', 'tbsp', 'tsp', 'g', 'g', 'g', '', '', '', '', '']",60,,,0.0,0,,15,5.0,4,['none'],75
Jason,Community Member,0,,,,Medium,"Any meat works, but sirloin is the most tender. ",Wasabi Tacos,,,0,"['sirloin steak', 'miso paste', 'rice vinegar', 'sugar', 'salt', 'Pepper', 'Napa Cabbage', 'smoked paprika powder', 'rice vinegar', 'Sesame Seed Oil', 'Mayonnaise ', 'wasabi paste', 'flour tortillas']","['1', '2', '2', '1', '1', '1', '0.5', '1', '1', '2', '3', '0.25', '5']","['tbsp', 'tbsp', 'tbsp', 'dash', 'dash', 'head', 'dash', 'dash', 'drops', 'tbsp', 'tsp', '', '']",45,,,0.0,0,,5,8.0,32,"['frying pan', 'whisk']",45
jon,Community Member,10,,,,Easy,This is a great weeknight dinner or lunch ,One pot chicken with beans,,,1,"['spinach', 'chicken stock', 'canned white beans', 'tomatoes', 'chili', 'garlic', 'celery', 'onions', 'chicken breasts', 'olive oil']","['50', '0.5', '100', '100', '1', '1', '2', '40', '180', '1']","['g', 'cl', 'g', 'g', 'capsule', 'clove', 'stalks', 'g', 'g', 'tbsp']",10,,,0.0,1,,2,6.0,13,['saucepan'],21
Renate P. Karlsmoen,Community Member,30,,,,Easy,"This is high-protein and very healthy, definitely one of my favourite dinners on a Friday night!",Protein pizza,,,0,"['quark', 'eggs', 'baking powder', 'water', 'whole-wheat flour', 'salt', 'ham', 'tomato sauce', 'onion', 'red bell pepper', 'canned sweet corn', 'cheese']","['150', '2', '2', '200', '300', '0.5', '150', '200', '1', '1', '0.3333333333333333', '80']","['g', 'tsp', 'ml', 'g', 'tsp', 'g', 'g', 'package', 'g', '', '', '']",15,,,0.0,0,,12,2.0,7,,45
Zak Rains,Community Member,20,,,,Medium,"The best dinner ever, made by the best girlfriend ever (not my recipe!)",Cheesey Egg & Fish Pie,,,0,"['new potatoes', 'eggs', 'butter', 'Plain flour', 'milk', 'cheddar cheese', 'Broccoli florets', 'salmon fillet (cut into chunks)', 'breadcrumbs', 'olive oil']","['500', '3', '30', '30', '400', '80', '400', '240', '30', '2']","['g', 'g', 'g', 'ml', 'g', 'g', 'g', 'g', 'tbsp', '']",35,,,0.0,0,,4,5.0,6,['knife'],55
Zuzanna,Community Member,5,,,,Easy,This is a quick and tasty dinner. Hardly any preparation needed which is usually the main step which is time consuming in other dishes. It’s perfect for week day food and pasta lovers.,Quick fusilli bolognese with creamy tomato sauce,,,0,"['Steak mince 5% fat', 'Dolmio creamy tomato sauce pot', 'carrot', 'Fusilli pasta', 'light mature Gouda (for serving)', 'salt (for serving)', 'dried parsley (for serving)', 'chicken stock (for frying)', 'water (hot)', 'oil (for frying)', 'onion']","['500.0', '1.0', '1.0', '1.0', '1.0', '1.0', '1.0', '600.0', '3.0', '1.0', '0.0']","['g', 'bag', 'pinch', 'tsp', 'tbsp', 'ml', 'tbsp', 'head', '', '', '']",10,,,0.0,1,,4,6.0,26,"['2 pots (with lid)', '5 wooden spoons', '1 frying pan (deep)', '1 bowl', '4 bowls (for serving)']",16
jon,Community Member,45,,,,Easy,A great lunch to take on the go,Tuna sweet jacket potato,,,0,"['lettuce', 'spinach', 'mayonnaise', 'lime', 'chili ', 'onions', 'canned tuna', 'sweet potato']","['75', '50', '1', '0.5', '1', '2', '1', '1']","['g', 'g', 'tbsp', '', '', '', '', '']",10,,,0.0,1,,1,4.0,5,"['oven', 'bowl', 'fork']",56
Harvey,Community Member,5,,,,Easy,"This recipe is so easy as a fridge clear out of any leftover veg from the night before. Easy, fresh and adaptable to what you have in.",Easy 10 Minute Pizza,,,0,"['plain wrap', 'salsa', 'cherry tomatoes', 'red bell pepper', 'yellow bell pepper', 'ball mozzarella', 'Parmesan cheese', 'dried oregano', 'dried basil', 'black pepper', 'fresh basil']","['1.0', '2.0', '4.0', '0.25', '0.25', '0.3333333333333333', '1.0', '1.0', '1.0', '0.0', '0.0']","['tbsp', 'tbsp', 'tsp', 'tsp', '', '', '', '', '', '', '']",5,,,0.0,0,,2,4.0,19,"['plate', 'fine grater', 'grill']",10
Zuzanna,Community Member,20,,,,Easy,This is a quick and easy meal which will satisfy your family and your guests. Perfect for meat lovers!,Rice with creamy tomato sauce with mince and veg,,,1,"['rice', 'Dolmio tomato&cheese sauce ', 'grated Parmesan cheese (for serving)', 'Beef steak mince', 'Vegetable mix (carrots', ' peas', ' beans)', 'water', 'onion', 'Salt', ' pepper and parsley', 'Vegetable seasoning (Vegeta or other)']","['2', '1', '2', '500', '1', '650', '0.5', '1', '1']","['bags', 'tbsp', 'g', 'bag', 'ml', 'pinch', 'tsp', '', '']",20,,,4.5,1,2.0,4,6.0,63,"['2 pots (with lid)', 'fork', 'wooden spoon', 'knife', 'cutting board', 'bowl']",41
fox,Community Member,20,,,,Easy,,Bacon cauliflower stir fry,,,0,"['cauliflower', 'spring onion', 'carrots', 'bacon', 'salt', 'onion powder']","['1', '2', '2', '2', '10', '5']","['bulb', 'cloves', 'cloves', 'sheets', 'g', 'tbsp']",20,,,0.0,0,,2,5.0,25,"['pot', 'frying pan']",40
Cagri Akyurt,Community Member,0,,,,Easy,,Roasted chestnut soup with apple croutons,,,0,"['chestnuts (cooked)', 'onion', 'garlic', 'carrot', 'celery stalk', 'beef stock', 'flour', 'salt', 'pepper', 'olive oil', 'Green apple', 'panko breadcrumbs', 'cream', 'mint']","['300.0', '0.5', '2.0', '1.0', '1.0', '500.0', '10.0', '0.5', '60.0', '70.0', '4.0', '0.0', '0.0', '0.0']","['g', 'heads', 'ml', 'g', 'g', 'g', 'leaves', '', '', '', '', '', '', '']",30,,,0.0,0,,2,11.0,4,"['knife', 'cutting board', 'blender', 'whisk']",30
Emma,Community Member,20,,,,Easy,This classic Swiss dish its made from grated potatoes that are fried until crispy. you can make big pan sized Röstis but smaller pancakes are easier to turn. Eat them for breakfast or as a side dish to a main meal.,Potato Rösti,,,0,"['Medium-sized floury potatoes peeled ', 'Salt and pepper ', 'olive oil']","['4.0', '4.0', '0.0']","['tbsp', '', '']",20,,,5.0,0,1.0,8,5.0,64,"['saucepan', 'grater']",40
Joe Bruckner,Community Member,40,,,,Medium,,Short Rib Ragu,,,0,"['beef short ribs', 'onion', 'carrot', 'garlic', 'tomato paste', 'red wine', 'canned crushed tomatoes', 'broth', 'Dijon mustard', 'bay leaves', 'thyme', 'rosemary', 'parsley', 'egg noodle', 'Parmesan cheese']","['2', '0.5', '0.5', '2', '2', '1.5', '28', '16', '1', '2', '2', '2', '1', '1', '0.5']","['lbs', 'cup', 'cup', 'cloves', 'tbsp', 'cups', 'oz', 'fl oz', 'tbsp', 'leaves', 'sprigs', 'sprigs', 'stalk', 'package', 'cup']",30,,,0.0,0,,4,10.0,19,,70
Daniel Rodriguez Maldonado,Community Member,5,,,,Easy,,Sesame crusted tuna,,,2,"['tuna steaks', 'lemon juice (for marinating)', 'red onion (for marinating)', 'celery root (for marinating)', 'cilantro (for marinating)', 'ginger (for marinating)', 'sesame oil', 'soy sauce (for marinating)', 'black sesame seeds (toasted', ' for coating)']","['2.0', '5.0', '0.5', '1.0', '0.5', '5.0', '2.0', '5.0', '0.0']","['tbsp', 'g', 'tbsp', 'tbsp', '', '', '', '', '']",5,,,5.0,10,1.0,2,4.0,10,"['blender', 'nonstick pan']",20
nina,Community Member,30,,,,Easy,,Brokkoli-Noodle-Soufflé,,,1,"['pasta', 'broccoli', 'onion', 'garlic', 'roasted & salted peanuts', 'almonds', 'eggs', 'milk', 'cream', 'grated Parmesan cheese', 'Gouda cheese', 'butter', 'ground nutmeg', 'salt and pepper']","['175.0', '250.0', '0.5', '0.5', '20.0', '20.0', '3.0', '125.0', '50.0', '1.5', '30.0', '0.0', '0.0', '0.0']","['g', 'g', 'g', 'g', 'ml', 'ml', 'tbsp', 'g', '', '', '', '', '', '']",40,,,2.0,0,1.0,2,12.0,3,"['2 pots', 'cutting board and knife ', 'sieve', 'ovenproof pot', 'whisk', 'bowl', 'oven']",70
Christian Ruß,Test Kitchen Manager and Chef at Kitchen Stories,0,709.0,89.0,g,Easy,"Porcini mushrooms are considered a delicacy that pair perfectly with the creamy sauce. Pappardelle are particularly suitable for this recipe, the sauce clings well to the wide noodles and ensure a beautiful, silky consistency.",Porcini mushroom pappardelle pasta,32.0,g,2,"['porcini mushrooms', 'pappardelle pasta', 'shallots', 'garlic', 'thyme', 'juniper berries', 'olive oil', 'walnuts', 'lemon juice', 'heavy cream', 'pasta water', ""lamb's lettuce"", 'lemon zest (for serving)', 'salt', 'pepper']","['300.0', '300.0', '2.0', '1.0', '4.0', '2.0', '2.0', '30.0', '2.0', '120.0', '70.0', '50.0', '0.0', '0.0', '0.0']","['g', 'g', 'clove', 'sprigs', 'tbsp', 'g', 'tbsp', 'ml', 'ml', 'g', '', '', '', '', '']",45,19.0,g,4.0,0,8.0,3,4.0,2245,"['cutting board', 'knife', 'frying pan', 'spatula', 'large pot', 'colander']",45
